verb,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
apologize,positive-past,-0.253219902448472,0.0672752201318355,0.235229218150663,0.40776739770915704,0.7615053224138141,0.240339240375849,0.2580720629661288
apologize,positive-future,-0.48149902310930004,-0.22248343495145728,-0.08759285755948101,0.044682750013657985,0.311740351377666,-0.08797228304044127,0.20125067211316305
apologize,negative-past,-0.21046210958516598,0.13718551112571098,0.31385320571617004,0.491499103034827,0.8453051044384949,0.31440822441963207,0.2680850847406083
apologize,negative-future,-0.31637324633568203,-0.04238656389898801,0.0974105937549592,0.23898830956143402,0.515561720716212,0.09840825537581101,0.21127423964255249
boast,positive-past,0.608490478913265,0.9250186555686691,1.09514665953462,1.2669272045150302,1.6132781936294902,1.0986894044474504,0.2566464395479117
boast,positive-future,0.48629957553337894,0.732188241176852,0.8653970054773181,0.9968476068217771,1.2660991777999175,0.8672362794846613,0.19926211437250105
boast,negative-past,-0.4174975233301199,-0.0722040892548399,0.1071054197084842,0.2808628534550871,0.6285912539225691,0.10453255345146754,0.26531056913780554
boast,negative-future,-0.6537844658637697,-0.37978200024351016,-0.2404499936798501,-0.10034954644566896,0.16639325057716992,-0.24068387112084816,0.20951886190871738
complain,positive-past,0.6152835342025489,0.938513556551084,1.1080057821261,1.28033497842653,1.6327193495450902,1.1118286664493169,0.25816905338424745
complain,positive-future,0.12252967739291298,0.377747069296194,0.5098463765768101,0.6429403480589827,0.9111551128808139,0.5110533327856835,0.20046358763081737
complain,negative-past,0.07198409676219308,0.41886904047693996,0.5959077378748321,0.7731601489785914,1.119245516289341,0.5962868322384929,0.26643491623204657
complain,negative-future,-0.05960394764218013,0.20833317051117994,0.350611211911512,0.4918681322913271,0.7635183469226569,0.3504318927247439,0.2108368986387988
congratulate,positive-past,0.25456240409038505,0.5710502636793101,0.7385721909805221,0.909898326070908,1.26417691749113,0.742645047031681,0.2558127578078622
congratulate,positive-future,-0.13259271956305502,0.12997164071160006,0.26398393522087504,0.40115919435535097,0.6688472318326192,0.26548771189030385,0.20275994231295516
congratulate,negative-past,-0.491442283667164,-0.144246509629262,0.0373372861454091,0.21037637465134407,0.5662587918107868,0.03438856768615534,0.2671701114669186
congratulate,negative-future,-0.40163554142674196,-0.130243756693167,0.011750171184970015,0.14989503254217895,0.42215866557144793,0.01101600208794504,0.20983065522584948
convince,positive-past,-0.0880986494677219,0.22692088294425602,0.39582099840993895,0.5684598474706021,0.9128278882793571,0.40085714421803975,0.25488497390780224
convince,positive-future,0.17902268171153599,0.42703420302470596,0.557999940064766,0.691828501009042,0.963419012840847,0.5611979767511964,0.19997447714443614
convince,negative-past,-2.268002925291304,-1.916426176105177,-1.7363638241761832,-1.561633576208737,-1.2172541037404478,-1.7385781607640425,0.2679679104374207
convince,negative-future,-1.5751950916934132,-1.297360552341409,-1.1578430275632212,-1.0158696903714004,-0.7424083805935862,-1.1579459722853473,0.211714967506367
disprove,positive-past,-2.2213495235215603,-1.8932267418685502,-1.7238455436808602,-1.5522200847032699,-1.20154725607576,-1.7221476529442195,0.2588269818212844
disprove,positive-future,-1.533920727764102,-1.27930914073286,-1.143673718913416,-1.011139317648126,-0.742268401286657,-1.1432464258285133,0.20069969291390302
disprove,negative-past,-0.22018826545941006,0.12489505821986979,0.30224815971792984,0.48040437831347993,0.8217544551976097,0.3023880248662116,0.2665876423958653
disprove,negative-future,-0.03149361878679002,0.2399194818010102,0.37875256199303964,0.5218065317698799,0.79091898626966,0.38007888680175467,0.20969771505373438
dissuade,positive-past,-1.70185784759641,-1.381575254586,-1.20937693015906,-1.03822059875202,-0.690499261342732,-1.206874847331351,0.2580666337229137
dissuade,positive-future,-1.317567794602735,-1.0620260188573871,-0.9308620216993431,-0.798845625236413,-0.5318026126301669,-0.9284360297954639,0.19833417104738804
dissuade,negative-past,-0.09615394928863985,0.25053271806558985,0.42686163465226024,0.60512299752426,0.955009649295318,0.4281729253157193,0.2663323361653838
dissuade,negative-future,-0.04571180030530009,0.22770488072054995,0.3676153668492501,0.50901167641353,0.7839898313065499,0.36807803501276826,0.2107413938230999
doubt,positive-past,-2.88507752533336,-2.55275539122444,-2.38401540976824,-2.2084690943422403,-1.8627749565896001,-2.379592866676258,0.25950012663665006
doubt,positive-future,-2.3163643803382694,-2.0584544629193986,-1.9226198973165471,-1.7892923859289471,-1.517339215863236,-1.922870038580716,0.20375239881592005
doubt,negative-past,0.72148271558321,1.0704944721626508,1.24910872616652,1.4294810057295493,1.77995565857292,1.2506259529672044,0.2701015134516913
doubt,negative-future,1.02821772874462,1.29441744171561,1.4359855699035,1.5807714287765,1.86687963045393,1.438589022295888,0.21399732230451018
fear,positive-past,-0.557817847914023,-0.242035886481966,-0.0715789830394715,0.102588785235378,0.44832288705919104,-0.067477311533815,0.2579240280937198
fear,positive-future,-0.40590552290002835,-0.1563377579446791,-0.024943473202013206,0.10859571921220249,0.37399967856080646,-0.022181172037215254,0.19927103287131492
fear,negative-past,-0.2041331804574159,0.13168022203803992,0.3104092803063193,0.48503757623979804,0.8343194428526031,0.3096849851298432,0.2647834603122772
fear,negative-future,-0.30965832331956905,-0.04076090841154306,0.09848679927746909,0.23830961103385812,0.5107624068901149,0.09858172119034184,0.20866330837979097
hate,positive-past,0.5326202120682929,0.8490721448897791,1.01542558298537,1.18946056580795,1.5440449993311798,1.0219907753050026,0.25698381121276265
hate,positive-future,0.128351939323612,0.379371839187691,0.5113248989356349,0.6431709566274801,0.915506191834054,0.5132678693934659,0.19866035901095225
hate,negative-past,0.36242786159955903,0.7042687654023081,0.8814864507504258,1.05852382958229,1.4119088726826399,0.8821678289019752,0.2677144534200971
hate,negative-future,0.004071181507738109,0.276944050650082,0.4163672209094179,0.5571775814741923,0.8309631485228001,0.417050859753654,0.20977018617634163
hope,positive-past,-1.0180692783015999,-0.6930033768687479,-0.5252834944256429,-0.352933967391489,-0.00415176889196655,-0.5213234639213586,0.25665789966711894
hope,positive-future,-0.6341034594109012,-0.388107631878146,-0.25859764098993865,-0.1268929589674757,0.141714683605335,-0.2561232586948684,0.19766045657816148
hope,negative-past,-1.053648050749816,-0.7080504096495649,-0.530500747071965,-0.35328081419736795,-0.008398240861771045,-0.5313875195271718,0.26631698613021326
hope,negative-future,-0.7003430458065061,-0.42491524890617793,-0.2855859195088591,-0.142958768525836,0.1275606870830881,-0.2842482408189857,0.20972958005404244
know,positive-past,0.909094430791408,1.23118918815471,1.3997380999181201,1.5711020676948797,1.9239619617758998,1.4036745581379566,0.25779658150497425
know,positive-future,0.9706518608541237,1.2195897906424797,1.3504388256421993,1.4849272227959238,1.756815825040428,1.3545425538488847,0.20031432637885985
know,negative-past,-2.4185084797707503,-2.0649428502772897,-1.8869407979920898,-1.7114048884776902,-1.37098568680716,-1.888667449330768,0.2659017153431685
know,negative-future,-1.7611558759826,-1.47462131561976,-1.3336736681178902,-1.18846226423023,-0.91562678024084,-1.3339193204331687,0.21529335649227738
lie,positive-past,-2.96830356468888,-2.64031419231928,-2.46569130134138,-2.29127258222997,-1.94714577048498,-2.4651423813230293,0.25962870631820706
lie,positive-future,-2.167877723162409,-1.9027472776341998,-1.7673650494616349,-1.6331696497532482,-1.368944956508841,-1.7676854577420176,0.20293860104645767
lie,negative-past,-0.17292916023902993,0.17705813444388996,0.35202864674819967,0.5272463256419404,0.8856556731931904,0.35316163380567694,0.26682297349019124
lie,negative-future,0.29435089644692036,0.5624222279054103,0.7001280720163496,0.8423012220097195,1.1248716532278902,0.7028839533243499,0.21076396859357557
like,positive-past,0.325447219512621,0.648260247406889,0.8154301576465172,0.9883091652624799,1.3376643157601,0.8195523755875662,0.2574680129830059
like,positive-future,0.11358537258238599,0.3662824840609091,0.49902584191041194,0.634622737388057,0.906708078532462,0.5020668319809882,0.20230399052424144
like,negative-past,0.5464470720871011,0.8905656590620081,1.068209182993535,1.2480577297628317,1.600992428292566,1.0701230223025842,0.2682282298258006
like,negative-future,0.31548180171263607,0.5848945110933639,0.7258463230632118,0.867575068370988,1.1526320051209709,0.7279582061756922,0.21302799523610658
love,positive-past,0.620988303212798,0.9399953839182741,1.1054147994556498,1.27833722610924,1.61961747937888,1.1108219072893069,0.25451267645726183
love,positive-future,0.23258733125543607,0.48288526561185197,0.6136804013332752,0.7462911608067839,1.020449464324804,0.6166141307143671,0.1989419734845882
love,negative-past,0.4991334811890251,0.8449153615505169,1.0215024696742523,1.198087278830345,1.550148139721507,1.022277172377469,0.2664700102691327
love,negative-future,0.19683550521607007,0.46581579618469704,0.604096665120415,0.7458702850566151,1.021383400814221,0.6061174001362731,0.20974661016684815
mislead,positive-past,-2.09274277735978,-1.76899170773065,-1.59572941428199,-1.42309839691665,-1.0685194865701,-1.5935479317979822,0.25999426098731343
mislead,positive-future,-1.483367343559118,-1.2236471860796359,-1.091768632077654,-0.9579975596918759,-0.689989578396645,-1.0901381549842497,0.2011377690280301
mislead,negative-past,-0.3032738793841203,0.04129413708999996,0.21488917426597998,0.3913362463913097,0.7461052941513802,0.2162211616564107,0.26658258770207904
mislead,negative-future,-0.1513267605839499,0.1154827297446599,0.25525266103681,0.39644515539011005,0.6686196967907898,0.25557468011004036,0.21018570699653905
