"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,-0.804841213126968,0.714121703381426,1.60968242625394,6.6437608450056,0.185918488085489,13.2875216900112
apologize,negative,past,55.7630067364709,3.80269392973431,-111.526013472942,17.5054042669806,1.24371976684479,35.0108085339611
apologize,positive,future,9.42722719498837,2.68099342044685,-18.8544543899767,9.62347277135249,0.996461869168115,19.246945542705
apologize,positive,past,52.9814812943192,2.90986398317972,-105.962962588638,18.0217143445438,1.33287140091116,36.0434286890875
boast,negative,future,9.49881044961145,2.39686267864245,-18.9976208992229,9.21541032918275,1.42084419739284,18.4308206583655
boast,negative,past,34.6721841297482,4.10662284461465,-69.3443682594963,13.7153213967786,1.27025695982457,27.4306427935572
boast,positive,future,96.0269464904711,1.47716725871116,-192.053892980942,21.0196634752072,0.568721084570555,42.0393269504144
boast,positive,past,149.332072980135,1.45919247738097,-298.66414596027,23.6454572846022,0.475075910760087,47.2909145692044
complain,negative,future,7.40512396517403,3.15715219762576,-14.8102479303481,7.38806535537225,1.57484571564364,14.7761307107445
complain,negative,past,64.6331155836858,2.71801821776798,-129.266231167372,19.5170824162409,0.905374531304046,39.0341648324818
complain,positive,future,60.7666076650544,1.44461346413411,-121.533215330109,19.2865397311971,0.337942708667986,38.5730794623941
complain,positive,past,107.51075723987,1.47631961489185,-215.02151447974,23.4076145801968,0.420838810846684,46.8152291603936
congratulate,negative,future,17.7709300115001,2.23239169676603,-35.5418600230003,11.6116475915157,0.977593368173951,23.2232951830313
congratulate,negative,past,5.53866231513556,1.49323441391799,-11.0773246302711,7.15627913110022,0.361858805994306,14.3125582622004
congratulate,positive,future,19.9756494350984,1.28822818858673,-39.9512988701967,12.2943298718054,0.415475489711699,24.5886597436108
congratulate,positive,past,108.620237524251,1.97197017201703,-217.240475048502,22.6631307217064,0.674140831631164,45.3262614434127
convince,negative,future,28.0481920167256,1.99602477044945,-56.0963840334512,15.1677090956506,0.747457746990651,30.3354181913011
convince,negative,past,50.1962364871938,4.39237500272592,-100.392472974388,16.3563768045818,1.96437973703343,32.7127536091635
convince,positive,future,78.7550733564655,3.61512453906766,-157.510146712931,21.5146601243877,1.31745030004267,43.0293202487755
convince,positive,past,70.4967245462952,3.17273005422281,-140.99344909259,18.1252295698811,1.14315588071613,36.2504591397623
disprove,negative,future,10.6911733793149,1.52853047818018,-21.3823467586299,7.31437349275036,0.832544158112809,14.6287469855007
disprove,negative,past,24.6401203689656,2.33450259978807,-49.2802407379312,13.1781273130686,0.877243070064703,26.3562546261372
disprove,positive,future,13.2291789250626,5.50670708904661,-26.4583578501252,10.5590759616708,1.98319461176306,21.1181519233417
disprove,positive,past,28.6138865678728,6.88061083595948,-57.2277731357457,15.4230816063269,2.41001782099911,30.8461632126537
dissuade,negative,future,30.0892169403488,5.55492714519913,-60.1784338806976,14.4770154832814,3.04090757589792,28.9540309665629
dissuade,negative,past,31.3231566914555,2.2703428849501,-62.6463133829109,16.002301161163,0.589472150675643,32.0046023223261
dissuade,positive,future,16.6968684716277,3.68318923860423,-33.3937369432555,9.91997129385642,1.1147722329031,19.8399425877128
dissuade,positive,past,25.589484336507,1.54600745489265,-51.178968673014,12.7573708434362,0.380852164622437,25.5147416868725
doubt,negative,future,86.057639523461,1.63539432379459,-172.115279046922,18.8665159324629,0.732045941400023,37.7330318649259
doubt,negative,past,101.168968746681,2.21149208185299,-202.337937493363,22.3876640220789,0.861976186361007,44.7753280441577
doubt,positive,future,59.2742694616697,2.54609612596934,-118.548538923339,17.1411871970793,0.724761796993883,34.2823743941585
doubt,positive,past,86.3064639441908,2.13956278901636,-172.612927888382,20.4412897589626,0.631582228130696,40.8825795179251
fear,negative,future,2.02601369340454,1.08371344325474,-4.05202738680908,6.51624108367121,0.287023648444951,13.0324821673424
fear,negative,past,53.8401898109198,4.69865599574464,-107.68037962184,18.1747933698934,1.45201009570625,36.3495867397867
fear,positive,future,4.20026561817617,0.838195053456246,-8.40053123635234,7.34480821165216,0.180948900134936,14.6896164233043
fear,positive,past,11.5405581861207,3.7611663540764,-23.0811163722414,10.4843801982915,2.66719524626588,20.968760396583
hate,negative,future,11.3499321280731,0.883627742701484,-22.6998642561463,10.195711042952,0.194352737951538,20.391422085904
hate,negative,past,75.0807149296981,1.66644641222577,-150.161429859396,19.774212907044,0.353703993700957,39.548425814088
hate,positive,future,69.4907915403372,3.22586048311394,-138.981583080674,21.4835284238033,0.904257432303266,42.9670568476065
