"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,26.6489203787618,1.74407429583392,-53.2978407575236,13.4961560252527,0.495115605115558,26.9923120505054
apologize,negative,past,4.26760548702964,0.901915177936933,-8.53521097405928,6.75858745767951,0.270110543583332,13.517174915359
apologize,positive,future,80.2547724363428,1.34695971349288,-160.509544872686,19.9441436490271,0.424899715289961,39.8882872980542
apologize,positive,past,108.094815052989,2.82804764464824,-216.189630105978,20.7354949261329,0.977839367184851,41.4709898522658
boast,negative,future,-5.12224554879721,0.666479775022578,10.2444910975944,1.9975978580953,0.22162764998444,3.99519571619059
boast,negative,past,5.77480981847669,7.14222744096509,-11.5496196369534,9.97777108095406,4.06643858958568,19.9555421619081
boast,positive,future,78.0534817985308,0.987654827346497,-156.106963597062,21.7090112436484,0.251445163291063,43.4180224872968
boast,positive,past,95.5783402378926,1.73811384683886,-191.156680475785,18.8049728935883,0.867306424928911,37.6099457871767
complain,negative,future,10.9265349691819,2.95293358234345,-21.8530699383637,10.6341842828238,1.40505154602308,21.2683685656475
complain,negative,past,5.85819045238579,1.30128996028104,-11.7163809047716,8.85018645597969,0.542973972648604,17.7003729119594
complain,positive,future,95.4206265434674,2.03745586277069,-190.841253086935,20.1492891217928,0.661098860712743,40.2985782435856
complain,positive,past,124.296788787665,1.53688001205542,-248.59357757533,22.5827326363497,0.494817829576757,45.1654652726994
congratulate,negative,future,3.22247058138778,5.52979792259717,-6.44494116277557,7.91474486374371,3.81305141522682,15.8294897274874
congratulate,negative,past,21.3377107983422,7.69081826679424,-42.6754215966844,13.6146844514698,3.04723313267686,27.2293689029397
congratulate,positive,future,90.6901989564218,2.65605123764776,-181.380397912844,21.0104765867721,0.878932298662776,42.0209531735443
congratulate,positive,past,64.6565526799425,0.907675396235961,-129.313105359885,17.3500426989333,0.315255487745937,34.7000853978667
convince,negative,future,0.503131541085047,0.777044114302743,-1.00626308217009,5.71817155728862,0.330212773087973,11.4363431145772
convince,negative,past,20.4195133708888,1.34904639951506,-40.8390267417777,12.2447754645507,0.50602066106273,24.4895509291015
convince,positive,future,-1.14045127824553,0.924817510017562,2.28090255649106,5.18553678108266,0.486733202953013,10.3710735621653
convince,positive,past,0.328401633503358,1.19644586242785,-0.656803267006715,7.17200756597552,0.533316629672719,14.344015131951
disprove,negative,future,-0.707923437873323,2.50489510478575,1.41584687574665,5.76675268783492,1.59955137369317,11.5335053756698
disprove,negative,past,6.85437853602071,1.01671881604672,-13.7087570720414,9.03572289591602,0.34002117969766,18.071445791832
disprove,positive,future,-6.23860127968121,0.478173657537111,12.4772025593624,2.00397228687946,0.0672280433898309,4.00794457375891
disprove,positive,past,0.344654021261562,0.45034650803902,-0.689308042523123,7.59675834830876,0.0823866754082785,15.1935166966175
dissuade,negative,future,-2.50029281475272,1.64333069638059,5.00058562950543,3.82611008847614,0.93702013939958,7.65222017695228
dissuade,negative,past,12.4872764070531,1.21893169291339,-24.9745528141061,10.3011865254464,0.474698051235014,20.6023730508929
dissuade,positive,future,-2.80344743232828,0.694829873313921,5.60689486465656,5.9724573133802,0.280468204351577,11.9449146267604
dissuade,positive,past,1.81330943478072,0.726719093926658,-3.62661886956144,5.47454040999622,0.321535922864656,10.9490808199924
doubt,negative,future,2.06891115432975,1.55864899658976,-4.1378223086595,7.09924204142789,0.914906464744481,14.1984840828558
doubt,negative,past,-1.3410759669083,1.10934286120913,2.68215193381659,4.83525423037612,0.693580469883941,9.67050846075225
doubt,positive,future,-6.12374798941839,0.360098582093059,12.2474959788368,2.03066893321877,0.0257696467298095,4.06133786643754
doubt,positive,past,8.76045323246617,2.08468806747026,-17.5209064649323,9.40598503847377,1.36907503611614,18.8119700769475
fear,negative,future,0.270342736855201,0.510217895090975,-0.540685473710402,7.09368029171456,0.0938240015418645,14.1873605834291
fear,negative,past,-6.05638246368594,0.422579331015786,12.1127649273719,1.85033321636825,0.0457631660280217,3.7006664327365
fear,positive,future,163.616763500537,4.14258434804279,-327.233527001074,25.3731199119827,2.98227482460846,50.7462398239653
fear,positive,past,154.146773285462,2.28507459718265,-308.293546570923,24.0695381943749,1.07599982142328,48.1390763887497
hate,negative,future,3.81752924364492,0.744683993594085,-7.63505848728983,7.86879672033941,0.145454973730068,15.7375934406788
hate,negative,past,12.1137951919378,1.06561325790735,-24.2275903838757,12.0252596129059,0.390913475406936,24.0505192258117
